Frame,hayashide_CentreOfMass_X,hayashide_CentreOfMass_Y,hayashide_CentreOfMass_Z,hayashide_LHeadAngles_X,hayashide_LHeadAngles_Y,hayashide_LHeadAngles_Z,hayashide_LNeckAngles_X,hayashide_LNeckAngles_Y,hayashide_LNeckAngles_Z,hayashide_RHeadAngles_X,hayashide_RHeadAngles_Y,hayashide_RHeadAngles_Z,hayashide_RNeckAngles_X,hayashide_RNeckAngles_Y,hayashide_RNeckAngles_Z,robot_X,robot_Y,robot_Z
314,,,,,,,,,,,,,,,,-1542.128174,57.875813,1142.350952
315,,,,,,,,,,,,,,,,-1542.148926,57.88887,1142.376099
316,,,,,,,,,,,,,,,,-1542.159424,57.895611,1142.385498
317,,,,,,,,,,,,,,,,-1542.1427,57.904812,1142.361938
318,,,,,,,,,,,,,,,,-1542.114868,57.907379,1142.326294
319,,,,,,,,,,,,,,,,-1542.123291,57.912678,1142.321411
320,,,,,,,,,,,,,,,,-1542.113281,57.911346,1142.345703
321,,,,,,,,,,,,,,,,-1542.138672,57.899883,1142.361572
322,,,,,,,,,,,,,,,,-1542.15918,57.90744,1142.386353
323,,,,,,,,,,,,,,,,-1542.162109,57.90963,1142.368896
324,,,,,,,,,,,,,,,,-1542.118042,57.890987,1142.335205
325,,,,,,,,,,,,,,,,-1542.120605,57.889019,1142.318604
326,,,,,,,,,,,,,,,,-1542.098267,57.876377,1142.33606
327,,,,,,,,,,,,,,,,-1542.116699,57.89259,1142.36731
328,,,,,,,,,,,,,,,,-1542.145752,57.900494,1142.381958
329,,,,,,,,,,,,,,,,-1542.142944,57.929821,1142.371582
330,,,,,,,,,,,,,,,,-1542.130493,57.928101,1142.334595
331,,,,,,,,,,,,,,,,-1542.127808,57.919796,1142.325684
332,,,,,,,,,,,,,,,,-1542.113525,57.904022,1142.315063
333,,,,,,,,,,,,,,,,-1542.138794,57.895615,1142.368286
334,,,,,,,,,,,,,,,,-1542.125732,57.883854,1142.3927
335,,,,,,,,,,,,,,,,-1542.145752,57.879391,1142.379761
336,,,,,,,,,,,,,,,,-1542.132446,57.895866,1142.358765
337,,,,,,,,,,,,,,,,-1542.137573,57.89558,1142.340698
338,,,,,,,,,,,,,,,,-1542.145996,57.896458,1142.320923
339,,,,,,,,,,,,,,,,-1542.138794,57.898884,1142.35022
340,,,,,,,,,,,,,,,,-1542.141724,57.903042,1142.369507
341,,,,,,,,,,,,,,,,-1542.15686,57.915199,1142.378296
